width,benchmark,method,seed,queries,valid_queries,cache_hits,fresh_physical,global_queries,local_queries,first_improvement,seed_reward,final_reward,reward_gain,best_observed_mask
16,popcount16_tree,v3_global,32001,16,16,0,16,16,0,2,73.245274,73.476456,0.231182000000004,0x5d88
16,popcount16_tree,v3_global,32002,16,16,1,15,16,0,12,73.245274,73.484094,0.23882000000000403,0x7e06
16,popcount16_tree,v3_global,32003,16,16,3,13,16,0,1,73.245274,73.447094,0.2018200000000121,0x7b60
16,popcount16_tree,uniform_local,32001,16,16,2,14,0,16,4,73.245274,73.36189,0.1166160000000076,0x3028
16,popcount16_tree,uniform_local,32002,16,16,3,13,0,16,1,73.245274,73.60939,0.3641160000000099,0x30a5
16,popcount16_tree,uniform_local,32003,16,16,11,5,0,16,1,73.245274,73.36189,0.1166160000000076,0x3028
16,popcount16_tree,v3_hybrid,32001,16,16,8,8,8,8,2,73.245274,73.699446,0.4541719999999998,0x3d88
16,popcount16_tree,v3_hybrid,32002,16,16,12,4,8,8,1,73.245274,73.406506,0.16123199999999827,0x3326
16,popcount16_tree,v3_hybrid,32003,16,16,12,4,8,8,1,73.245274,73.36189,0.1166160000000076,0x3028
16,popcount16_tree,frozen_hybrid,32001,16,16,14,2,8,8,2,73.245274,73.699446,0.4541719999999998,0x3d88
16,popcount16_tree,frozen_hybrid,32002,16,16,16,0,8,8,1,73.245274,73.406506,0.16123199999999827,0x3326
16,popcount16_tree,frozen_hybrid,32003,16,16,14,2,8,8,1,73.245274,73.36189,0.1166160000000076,0x3028
64,popcount64_tree,v3_global,32001,16,16,0,16,16,0,,68.925898,68.925898,0.0,0x7fffffffffffffff
64,popcount64_tree,v3_global,32002,16,16,0,16,16,0,2,68.925898,69.041046,0.1151479999999907,0x7ffffffffffffe60
64,popcount64_tree,v3_global,32003,16,16,1,15,16,0,,68.925898,68.925898,0.0,0x7fffffffffffffff
64,popcount64_tree,uniform_local,32001,16,16,0,16,0,16,1,68.925898,69.048678,0.12277999999999167,0x7fffffffffffefff
64,popcount64_tree,uniform_local,32002,16,16,0,16,0,16,3,68.925898,69.032178,0.10627999999999815,0x7ffffffffffffdff
64,popcount64_tree,uniform_local,32003,16,16,0,16,0,16,1,68.925898,68.985362,0.0594639999999913,0x7effffffbfeffdbf
64,popcount64_tree,v3_hybrid,32001,16,16,7,9,8,8,1,68.925898,69.048678,0.12277999999999167,0x7fffffffffffefff
64,popcount64_tree,v3_hybrid,32002,16,16,7,9,8,8,3,68.925898,69.032178,0.10627999999999815,0x7ffffffffffffdff
64,popcount64_tree,v3_hybrid,32003,16,16,5,11,8,8,1,68.925898,68.951162,0.025263999999992848,0x7effffffffffbfff
64,popcount64_tree,frozen_hybrid,32001,16,16,11,5,8,8,1,68.925898,69.048678,0.12277999999999167,0x7fffffffffffefff
64,popcount64_tree,frozen_hybrid,32002,16,16,11,5,8,8,3,68.925898,69.032178,0.10627999999999815,0x7ffffffffffffdff
64,popcount64_tree,frozen_hybrid,32003,16,16,11,5,8,8,1,68.925898,68.951162,0.025263999999992848,0x7effffffffffbfff
